ID,Trial_Number,Keyboard_Type,Repetition_Order,WPM,WER
9,30,C,4,13.89385951,0
10,26,A,3,22.48413941,0.00128219
1,77,B,3,80.14448939,0.001272906
8,68,A,3,72.28624304,0
9,15,B,5,92.29697141,0
3,83,C,2,78.21830158,0
8,85,A,2,85.39130661,0.006652993
5,12,C,2,28.14341482,0
4,9,A,1,22.32014973,0.003935509
4,64,B,1,16.5430473,0
9,51,A,5,104.9754851,0.002484651
2,12,B,4,68.70653568,0.017608136
3,95,A,2,64.38594318,0
5,99,C,3,60.09380905,0
4,50,B,5,58.22505761,0.008060443
7,63,A,2,51.27041012,0.001386828
4,14,B,2,78.46293894,0
6,63,C,3,70.85031075,0.003067408
5,83,C,3,69.40179646,0.003978859
7,93,C,3,76.84547687,0.005359733
5,51,A,5,51.88640545,0.009084727
6,51,C,3,96.68789601,0
10,45,C,4,61.97030275,0.005061004
5,63,A,2,70.94832154,0
2,36,B,5,84.22533353,0
2,3,A,5,38.64671154,0
1,70,B,4,69.77231199,0.004355547
4,43,C,5,93.08426143,6.97E-05
5,58,B,4,93.71885009,0
6,80,C,3,44.12962539,0
3,3,A,1,15.7787383,0
9,66,C,5,93.19918513,0.014762069
9,94,A,3,87.53074057,0.002422247
2,40,B,3,31.20069121,0.003654951
4,55,B,5,90.8339366,0.00037858
6,90,B,1,19.01707629,0.000914204
7,21,C,2,59.90953613,0
9,67,A,5,105.2329547,0.008558089
1,68,A,2,42.25524968,0.002724501
10,73,A,5,41.11767637,0
3,53,B,1,14.98811638,0
10,16,B,5,26.11965772,0
5,44,C,4,35.50603265,0
10,26,A,4,53.95007836,0
8,35,C,2,65.61577475,0.001025616
6,98,A,3,66.84768933,0
7,61,B,4,70.78644183,0.00688659
7,33,B,4,43.1000842,0
2,89,B,2,59.88322367,0.001491178
10,43,C,1,21.59119072,0.001239377
8,9,C,4,85.42796068,0
4,70,A,2,90.37827865,0.00234548
3,28,A,2,62.06935919,7.25E-05
9,10,B,2,97.2158971,0
5,81,B,5,42.81446274,0
3,87,B,5,41.06968064,0
7,14,C,4,45.13579223,0.005880323
3,67,B,2,59.08863691,0
4,65,C,3,82.97012461,0
10,11,B,1,14.39572313,0
1,77,A,3,75.49506756,0.005374108
4,50,B,4,56.5591594,0
7,5,B,3,78.64272759,0.001387484
4,54,C,4,105.6724135,0.011035507
4,82,C,2,77.9691988,0.002724225
4,96,B,3,68.56576186,0.001696123
5,75,B,3,99.5442465,0
3,47,C,2,66.09039543,0
2,42,C,3,61.00327753,0.001531055
1,2,B,5,68.70250454,0.00072942
2,11,A,4,36.5767131,0
9,40,C,2,77.11726354,0.00062859
4,77,B,2,91.82437234,0.004380599
1,97,B,2,72.83286289,0
1,53,C,4,107.2273131,0.667565225
7,16,B,1,15.09289656,0.001976862
6,71,A,4,81.26021678,0
3,77,C,2,56.66451635,0.004177551
4,78,B,2,92.07504831,0
8,30,B,3,82.97296139,0.008019138
6,7,B,5,86.30515252,0.009158692
1,32,B,5,42.68996151,0.002844371
8,14,C,5,58.27808032,0
8,10,C,1,18.47622736,0
8,96,C,3,56.70431953,0.003989637
1,56,A,5,59.93171101,0
4,51,B,3,78.49800683,0.00049913
10,14,C,3,65.48265872,0
3,64,C,3,111.7946529,0
1,55,B,2,81.2459686,0.00501114
6,61,B,2,79.79350861,0.008355545
1,29,B,3,74.82121611,0.003186882
4,37,C,4,92.85778419,0.004832545
10,10,C,2,59.81886828,0.002146619
10,4,A,4,46.62503556,0
1,22,C,5,49.70798384,0
9,19,C,4,57.2002209,0
9,49,A,2,76.67592336,0
8,83,A,3,87.48903659,0.000438601
2,28,C,4,29.78521759,0
9,7,B,4,67.38939824,0
1,0,B,5,64.80884332,0.000889862
8,2,A,5,45.8786597,0
3,18,A,3,84.37681919,0.000624292
9,12,B,4,38.29838385,0.001026049
8,4,A,4,64.92901692,0.003477524
9,2,A,5,80.39571725,0
9,44,A,4,48.90507531,0
9,27,A,5,74.58365806,0
9,67,A,4,91.77941072,0.002460747
4,13,A,5,85.67982163,0.000701039
5,91,A,4,52.41360779,0.006712064
5,34,B,5,50.19171094,0.006561368
1,35,C,5,73.58982376,0
3,4,A,1,15.77133274,0
1,89,A,4,44.94691741,0
6,51,A,3,82.69027525,0.002582422
10,89,A,3,74.10131179,0
2,26,B,5,64.18916227,0.000356744
7,52,C,2,19.2954146,0
1,21,A,4,24.57473096,2.43E-05
4,36,B,4,114.0436137,0
5,91,B,3,38.18618894,0
5,38,C,5,21.19572343,0
10,82,C,5,48.35265845,0.005603667
5,51,C,4,49.51027072,0
9,12,A,5,79.51649886,0.000864665
6,33,B,2,75.77666547,0
7,85,A,4,61.95048985,0.002201659
6,92,A,4,84.05436396,0
7,61,B,2,68.77297811,0
6,9,C,1,12.5619933,0.005180882
2,80,B,2,32.32540117,0.001721439
7,17,B,5,77.62110916,0
6,9,B,4,111.7522439,0
6,31,B,1,11.98576873,0
7,41,B,1,25.48403644,0
3,47,B,5,50.88761352,0.002295499
2,87,A,2,55.99009772,0.001268346
6,22,B,1,12.15920938,0
9,57,B,5,60.03475659,0
6,99,C,3,78.64021403,0.002108567
7,59,B,4,90.72492335,0.010175525
2,43,B,2,64.71815974,0.004247105
8,51,A,3,59.407145,0
4,88,B,1,11.36463567,0
9,39,C,4,110.0359784,0.004000865
2,92,C,3,75.57705043,0
2,88,C,5,49.11524791,0.008506369
3,20,A,5,58.52191818,0
4,22,B,5,68.18820824,0
6,46,B,5,77.00031493,0.001838691
4,91,C,1,12.31724068,0
10,96,A,5,40.87748671,0
10,95,C,5,76.829026,0.009035266
6,90,A,3,54.63071718,0.001049034
8,33,A,5,62.02768798,0.004695811
5,79,B,5,44.3833342,0
2,26,C,3,55.41828768,0.000117651
3,4,C,2,49.05463049,0.002489759
5,80,A,4,60.00758572,0.003048813
7,73,A,4,42.31135743,0
8,81,C,1,13.12263084,0.002797034
10,51,A,3,67.31531842,0
9,21,A,3,95.28681391,0.002372233
10,57,B,3,21.52382716,0
4,32,C,2,99.95936379,0.001520118
10,90,C,2,44.40473828,0
2,83,B,2,62.34155061,0
1,17,C,1,14.95481475,0
6,11,C,1,10.27344388,0
2,75,B,5,134.6561655,0
7,93,B,2,53.29749268,0
7,88,A,3,67.59165577,0
6,38,A,4,88.10708333,0
1,9,B,3,89.96724088,0.001099821
5,99,B,2,59.02492729,0.003469378
8,14,C,1,15.25520179,0
4,12,A,2,81.9786961,0.002968596
3,15,A,1,17.7008174,0
6,95,C,1,13.4264027,0
2,60,C,3,65.99637551,0
3,60,B,5,58.82123522,0.000478596
4,31,B,5,70.82469219,0.00383287
6,77,B,3,98.63938878,0
10,88,B,2,70.31687576,0.003717858
7,83,A,2,59.66833199,0
1,76,A,3,70.99776843,0.001533757
2,31,A,5,32.6471996,0
3,49,B,5,46.72025399,0.007162945
1,61,B,3,75.69059911,0.333677914
8,73,B,3,62.33291037,0.002244146
9,16,B,2,53.84926081,0.010160339
4,99,B,3,70.59649838,0.002204928
1,76,C,4,66.16717056,0
1,44,A,2,53.53365958,0
10,55,B,4,67.25052606,0.01168457
1,11,A,5,57.89475793,0.007530021
6,60,A,4,53.53393821,0.003681775
2,39,B,4,84.06789314,0.005679897
6,57,C,5,69.81951712,0
3,90,B,2,59.61023709,0
3,10,B,4,74.19462613,0.000178205
7,39,A,2,49.42436024,0
9,49,A,3,83.2345557,0
9,83,A,2,61.96067864,0
6,25,C,4,76.2252329,0.001635379
6,83,B,2,80.52713146,0
2,45,A,2,69.91216822,0.001043918
1,15,B,4,85.809292,0.01045779
10,24,C,5,44.02365293,0.013918644
5,38,A,3,28.56965733,0
8,55,C,3,69.88828097,0.003706754
3,63,A,3,57.91344885,0.007856721
3,85,B,5,79.40690066,0
5,10,B,5,76.16877257,0.011019498
6,97,B,2,71.62576769,0
9,62,A,5,96.64769656,0.011470807
5,73,B,4,63.2329083,0
10,91,C,3,48.93297891,0.000765749
4,36,C,2,115.7743006,0.000455215
7,36,C,3,72.39391985,0
5,64,A,2,38.04461313,0.00211201
7,87,C,4,60.76758918,0.004777455
1,31,A,5,46.39944467,0
4,30,A,2,70.8407237,0
6,19,B,3,83.59814102,0.002013517
7,81,B,1,16.46540858,0.002861278
8,42,A,1,16.62440266,0
10,54,B,3,68.81338467,0.004190852
3,15,B,4,63.91754177,0.000557472
3,31,B,2,26.93104633,0
